route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SILVER,SV1 UI MF,[@6.0.28932250@][2][1654215108501]/103__SV1_UI_MF,PAR,1,SV1 UI MF,SILVER 120
YELLOWHOPPER,Y8 UIMF,[@6.0.14331263@][1][1622139626848]/3__Y8_UIMF,Illinois Terminal,0,Y8 UIMF,YELLOWHOPPER 23
TEAL SATURDAY,T1 NONUI SA,[@12.0.44194660@][1250946648828]/159__T1_NONUI_SA,Orchard Downs,0,T1 NONUI SA,12E TEAL WEEKEND 13
TEAL EVENING,T1 UIF,[@7.0.41903462@][4][1243545628328]/6__T1_UIF,Illinois Terminal,1,T1 UIF,TEAL EVENING 12
YELLOW LATE NIGHT SUNDAY,Y2 UISU,[@124.0.92330667@][1484578259855]/40__Y2_UISU,Lot E-14,1,Y2 UISU,[@124.0.92330667@]100SLTNT->
ILLINI EVENING,I5 UIF LATE,[@6.0.28928828@][2][1654115731135]/8__I5_UIF_LATE,PAR,1,I5 UIF LATE,220S ILLINI 20
ILLINI LIMITED SATURDAY,I2 UI SA,[@6.0.14330204@][1][1622384291845]/19__I2_UI_SA,Lincoln & Killarney,0,I2 UI SA,[@6.0.14330204@]6
SILVER,SV4 UI NOSCH,[@6.0.28932250@][2][1654215235685]/130__SV4_UI_NOSCH,PAR,1,SV4 UI NOSCH,SILVER 120
ILLINI EVENING SUNDAY,I5 UI SU,[@6.0.28932555@][2][1654268823851]/52__I5_UI_SU,PAR,1,I5 UI SU,[@124.0.92263401@]24
ILLINI LIMITED SUNDAY,I1 SU,[@6.0.14330187@][1][1622252763821]/6__I1_SU,Lincoln & Killarney,0,I1 SU,[@6.0.14330187@]6
TEAL SUNDAY,T2 UISU,[@124.0.92229742@][1484323714302]/11__T2_UISU,Orchard Downs,0,T2 UISU,[@124.0.92229742@]12E TEAL WEEKEND 13
ILLINI LIMITED,I2 NONUI MF,[@6.0.14327389@][1][1622146973960]/35__I2_NONUI_MF,Lincoln & Killarney,0,I2 NONUI MF,[@6.0.14327389@]10
SILVER,SV4 NON UI SCH,[@6.0.28932250@][1][1654525562862]/37__SV4_NON_UI_SCH,PAR,0,SV4 NON UI SCH,[@6.0.28932250@]1
TEAL,T3 NON UI MF,[@7.0.41893871@][3][1243541396687]/104__T3_NON_UI_MF,Orchard Downs,0,T3 NON UI MF,12E TEAL 13
GREENHOPPER EVENING SATURDAY,GN2  UISA,[@15.0.68512008@][3][1370009407203]/0__GN2__UISA,Lincoln Square,0,GN2  UISA,[@15.0.68512008@]101
